iter	Passed	Remaining
0	55	8204
1	60	4452
2	65	3190
3	69	2530
4	73	2128
5	77	1860
6	81	1674
7	85	1523
8	90	1413
9	94	1317
10	99	1253
11	103	1191
12	108	1140
13	112	1094
14	116	1052
15	120	1010
16	124	973
17	128	941
18	132	911
19	136	885
20	140	860
21	144	838
22	148	817
23	153	805
24	157	789
25	162	772
26	166	756
27	169	740
28	173	723
29	177	709
30	180	694
31	184	681
32	188	667
33	192	655
34	196	644
35	199	632
36	203	620
37	206	609
38	211	600
39	215	593
40	219	584
41	223	575
42	228	567
43	232	559
44	236	550
45	239	542
46	243	534
47	247	526
48	251	518
49	255	510
50	259	502
51	263	495
52	266	488
53	270	481
54	275	475
55	278	468
56	282	461
57	286	454
58	290	447
59	294	441
60	298	435
61	302	429
62	306	423
63	311	418
64	315	412
65	319	406
66	324	401
67	328	395
68	332	389
69	336	384
70	341	379
71	346	375
72	351	371
73	356	366
74	360	360
75	365	355
76	368	349
77	372	344
78	376	338
79	379	332
80	383	326
81	387	321
82	391	315
83	394	310
84	398	304
85	402	299
86	405	293
87	409	288
88	413	283
89	417	278
90	420	272
91	424	267
92	428	262
93	432	257
94	436	252
95	440	248
96	445	243
97	449	238
98	453	233
99	457	228
100	462	224
101	465	219
102	469	214
103	473	209
104	476	204
105	480	199
106	491	197
107	496	193
108	501	188
109	504	183
110	509	178
111	513	174
112	517	169
113	521	164
114	524	159
115	528	154
116	532	150
117	536	145
118	539	140
119	543	135
120	547	131
121	550	126
122	554	121
123	558	117
124	561	112
125	565	107
126	569	103
127	572	98
128	575	93
129	579	89
130	583	84
131	588	80
132	591	75
133	595	71
134	599	66
135	602	62
136	606	57
137	610	53
138	614	48
139	617	44
140	621	39
141	625	35
142	629	30
143	634	26
144	639	22
145	644	17
146	649	13
147	653	8
148	656	4
149	660	0
